IFSC_CODE,MICR_CODE,BRANCH_NAME,ADDRESS,CONTACT,CITY,DISTRICT,STATE,BANK_NAME,STATUS
1399,N A ,PUNE - AUNDH                       ,"NO. 1 GROUND FLOOR, WESTEND CENTRE III S.NO. 169/1, NAGRAS ROAD, AUNDH, PUNE-411007",,PUNE,PUNE,MAHARASHTRA,CORPORATION BANK,V
1478,NA,ITALVA - GUJARATH                  ,"NO. 575, MAIN ROAD, ITALVA,  PO JAMLPORE DIST. NAVSARI, GUJARATH-396445",,TARAPUR,ANAND,GUJARAT,CORPORATION BANK,V
1488,NA,VALASAN                            ,"NO.9 PATEL SOCIETY, GROUND FLOOR, OPP.SWAMINARAYAN MANDIR,  VALASAN, DIST ANAND, -388326",,VALASANA,MAHESANA,GUJARAT,CORPORATION BANK,V
1502,N A ,PERIYA VALAVADI                    ,"NO.3/114,BAZAAR STREET, PERIYA VALAVADI,  UDUMALPET TALUK, TIRUPPUR DISTRICT.-642132",,UDUMALPET,COIMBATORE,TAMIL NADU,CORPORATION BANK,V
1519,NA,MORINDA                            ,"GROUND FLOOR, DOOR NO 529, WARD NO 5,  LUDHIANA CHANDIGARH ROAD, MORINDA, RUPNAGAR DIST.-140101",,MORINDA,RUPNAGAR,PUNJAB,CORPORATION BANK,V
1526,NA,BHUSAULA DANAPUR                   ,"VILLAGE BHUSAULA DANAPUR, POST MUBARAKPUR,  POLICE STATION PHULWARISHARIF, PATNA-801505",,MUBARAKPUR,SARAN,BIHAR,CORPORATION BANK,V
1534,N A ,CHANDWAJI [RAJASTHAN]              ,"SHOP NO. 8 & 9 VILLAGE SUNDERPURA, CHANDWAJI,  DIST JAIPUR, -303104",,CHANDWAJI,JAIPUR,RAJASTHAN,CORPORATION BANK,V
ABHY0065048,400065048,KALYAN-WEST,"FLOWER VALLEY, KHADAKPADA, KALYAN (W), DIST. THANE 421 301",251-2203321,THANE,THANE,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065119,431065004,GARKHEDA,"SHOP NO.1 & 2, MALANI CHAMBERS, PLOT NO.5, SHIVAJI NAGAR ROAD, GARKHEDA, AURANGABAD 431005",240-2405659,AURANGABAD,AURANGABAD,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065110,411065013,SINHAGAD ROAD,"SHOWROOM NO. 1 AND 3, SUNIT RIDDHI BLDG, PLOT NO. 2B, FINAL PLOT NO. 545, S. NO. 120A, 120B, PARVATI, SINHAGAD RD, PUNE 411030",20-24308301,PUNE,PUNE,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065040,400065040,CHARAI,"MUMBA DEVI APT., JOSHIWADA, CHARAI, VEER SAVARKAR PATH, THANE WEST 400601",22-25447077,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065060,400065060,DIVALE CBD,"SHOP NO 8A & 9, GROUND FLOOR, SAI SANGAM, SECTOR-15, SAKAL BHAVAN MARG, CBD BELAPUR, NAVI MUMBAI 400 614",22-27563509,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065042,400065042,KHARGHAR,"SHOP NO 66/67, PATEL HERITAGE, PLOT NO 15/17, SECTOR 7, KHARGHAR, NAVI MUMBAI 410210",22-27741002,MUMBAI,RAIGAD,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065034,400065034,ANDHERI,"SHRADHA SHOPPING CENTRE, OLD NAGARDAS ROAD, ANDHERI (E), MUMBAI-400069",22-26833207,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065126,NA,AHMEDNAGAR,"SAI MIDAS TOUCH, SHOP NO. 7 AND 8, PLOT NO. 101 SLASH 86, NAGAR MANMAD ROAD, SAVEDI ROAD, AHMEDNAGAR 414003",241-2356588,AHMEDNAGAR,AHMEDNAGAR,MAHARASHTRA,ABHYUDAYA COOPERATIVE BANK LIMITED,V
ABHY0065039,400065039,MULUND,"NEELKANTHDHARA, NETAJI SUBHASHCHANDRA ROAD, MULUND (W), MUMBAI-400080.",22-25641442,MUMBAI,GREATER MUMBAI,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065052,400065052,MIRA ROAD (EAST),"SHOP NO. 6,7 & 8, GROUND FLOOR, BUILDING NO. A-63, SECTOR - 1, SHANTI NAGAR, MIRA ROAD (E), DIST THANE 401107.",22-28555244,BHAYANDAR,THANE,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065302,576065003,CITY,"SHAMBHAVI FORTUNE, BEHIND K S R T C BUS STAND, UDUPI -576101",820-2520117,UDUPI,UDUPI,KARNATAKA,ABHYUDAYA CO-OP BANK LTD,V
ABHY0065125,422065006,PANCHAVATI,"4614, LAXMI RESIDENCY, PETH ROAD, PANCHAVATI, NASHIK - 422 003.",253-2629916,NASHIK,NASIK,MAHARASHTRA,ABHYUDAYA CO-OP BANK LTD,V
